country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Nõva,59.219904,23.696775,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Pürksi,59.006758,23.521952,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Risti,58.993979,24.056867,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Rohuküla,58.906472,23.425485,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Uuemõisa,58.937103,23.57166,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Läänemaa / Lääne maakond /Lääne/Laane county,Virtsu,58.573237,23.512256,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
EE,Muhu county (Muhu island),Kuivastu,58.573227,23.38837,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
EE,Parnu county,Haademeeste/Häädemeeste parish,58.074802,24.512312,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Parnu county,Halinga,58.595397,24.510308,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Parnu county,Tõstamaa,58.335644,23.99219,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Parnu county,Vändra,58.653371,25.03518,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Pärnu,86005 Pärnu,57.877138,24.38505,Mature Fast-Charging Hub,1.0,150.0,1,1,1,1,1,2
EE,Pärnu maakond,Audru vald,58.39559,24.456861,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Pärnu maakond,Pärnu,58.407783,24.4962545,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Pärnu maakond,Pärnu linn,58.375311,24.53213333333333,Developing EV Infrastructure,1.0,50.0,1,0,3,0,3,3
EE,Pärnumaa,Kilingi-Nõmme,58.147685,24.950646,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Pärnumaa,Pärnu,58.387622,24.50118,Mature Fast-Charging Hub,1.0,250.0,1,1,1,1,1,8
EE,Põlva maakond,Ahja vald,58.208968,27.074754,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Põlva maakond,Põlva linn,58.055021,27.056305,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Põlva maakond,Põlva maakond,58.096805,27.464024,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Põlva maakond,Värska vald,57.958035,27.634214,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Rapla maakond,Järvakandi vald,58.777531,24.817669,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Rapla maakond,Kohila vald,59.165575,24.755255,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Rapla maakond,Märjamaa,58.92126,24.45761,Mature Fast-Charging Hub,1.0,350.0,1,1,1,1,1,2
EE,Rapla maakond,Märjamaa vald,58.904214,24.429254,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Rapla maakond,Rapla vald,59.011562,24.794691,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Saaremaa island,Kuressaare,58.256317333333335,22.490691,Developing EV Infrastructure,1.0,50.0,1,0,3,0,3,3
EE,Saaremaa island,Leisi,58.571244,22.683572,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Saaremaa island,Lümanda,58.286138,22.024582,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Saaremaa island,Orissaare,58.558624,23.083078,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Saaremaa island,Salme,58.164423,22.251066,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Alatskivi,58.599872,27.134158,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Aovere,58.446738,26.808402,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Elva,58.221194,26.405943,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Kambja,58.24012,26.690477,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Laeva vald,58.471226,26.359792,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
